Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2019241	12.5	1.69563886054727	21.54403	2.2206457803669197	0	678.5603	47.57744	9.469543097141834	73.70641	392.766399480984	24.390345	1.2032500000000002	1.3715	-10	1	-999	-999
2019241	13	1.50797024193592	22.27032	2.307094422239838	0	657.6339	48.2031	9.714462334451548	73.68665	392.900973550799	25.291425	2.37975	2.51575	-10	1	-999	-999
2019241	13.5	1.86929410673542	22.18969	2.2776169119081615	0	607.6488	46.6985	8.928845965762338	73.6815	392.787564384915	24.566625000000002	2.43475	2.57	-10	1	-999	-999
2019241	14	1.95062318114993	22.37526	2.3016901203798388	0	568.5709	44.95293	8.157186727199955	73.67577	392.764132107633	23.463465	1.974	2.14725	-10	1	-999	-999
2019241	14.5	1.95450704397042	22.46525	2.311533360438174	0	530.2612	43.24226	7.454501207912974	73.67463	392.830736393523	22.512880000000003	1.7835	1.9895	-10	1	-999	-999
2019241	15	1.97071608784007	22.42864	2.3039758820765313	0	483.6925	41.27304	6.713580017761054	73.67184	393.167207035649	21.34702	1.421	1.6480000000000001	-10	1	-999	-999
2019241	15.5	1.39195010528979	22.69817	2.3385353273390397	0	399.9362	38.07188	5.6467825530662035	73.65044	392.948152191999	19.72394	1.376	1.62675	-10	1	-999	-999
2019241	16	1.55469478134815	22.59195	2.35180628680449	0	339.229	35.02183	4.835795588941081	73.64719	392.866360092211	17.575915000000002	0.13	0.39999999999999997	-10	1	-999	-999
2019241	16.5	1.05836605500486	21.98145	2.213759285038038	0	178.6731	28.91555	3.342793160082838	73.64494	392.815327578801	13.953025	-1.0095	-0.7152499999999999	-10	1	-999	-999
2019241	17	1.20384966375754	21.67591	2.137435098159261	0	133.0498	26.08098	2.785635812544509	73.64519	392.940680924669	12.83299	-0.415	-0.12225	-10	1	-999	-999
2019241	17.5	0.952522701832354	21.10656	2.0760467440931696	0	73.25655	23.35906	2.381149475488876	73.64448	392.977431971604	11.261655	-0.83575	-0.53925	-10	1	-999	-999
2019241	18	0.573335122138716	20.89575	2.0166311734299973	0	54.25576	21.59285	2.1047164042671986	73.65047	393.437112377644	10.679675	-0.23349999999999999	0.058249999999999996	-10	1	-999	-999
2019241	18.5	0.34692825964896	20.15424	1.8791267775399676	0	28.28342	18.61864	1.7079464818573225	73.63749	396.528754643786	9.125195	-0.36825	-0.06774999999999999	-10	1	-999	-999
2019241	19	0.337197084017128	18.24363	1.6275934847170277	0	3.918634	14.76375	1.3044852172717103	73.63938	395.952965147382	6.920875	-0.922	-0.63075	-10	1	-999	-999
2019241	19.5	0.681420723057212	17.38988	1.544950809909019	0	0.1048979	13.06849	1.170532154668816	73.65907	395.237362067167	6.346745	-0.375	-0.06375	-10	1	-999	-999
2019241	20	0.567986453859674	16.69892	1.4649739000071755	0	0.06290862	12.19945	1.0953913920903158	73.68768	397.970320269297	6.142725	0.086	0.406	-10	1	-999	-999
2019241	20.5	0.383472715481383	15.5951	1.31743568064192	0	0.05613618	9.541587	0.8858097024650773	73.70284	400.865377877522	4.4930435	-0.5555	-0.23650000000000002	-10	1	-999	-999
2019241	21	0.61622086764194	14.90037	1.2494654247030386	0	0.05783242	8.709956	0.8305732290745497	73.7158	400.422713405316	3.509728	-1.6905000000000001	-1.39075	-10	1	-999	-999
2019241	21.5	0.658781618202739	15.14722	1.258086316898228	0	0.0620684	8.286367	0.7998600259940171	73.72494	398.698426690961	3.2246835000000003	-1.837	-1.5702500000000001	-10	1	-999	-999
2019241	22	0.552025716790509	13.95215	1.133298634339316	0	0.06088398	7.554789	0.7405342250307273	73.73084	400.643163339656	3.0101445	-1.5345	-1.29875	-10	1	-999	-999
2019241	22.5	0.728358443840135	13.87951	1.110939503978795	0	0.05995399	7.216962	0.7127159607439606	73.70889	399.627511478884	3.029356	-1.15825	-0.94575	-10	1	-999	-999
2019241	23	0.600139882429226	13.15247	1.0123962107193285	0	0.06105547	6.626587	0.6539540601317373	73.70759	400.551782094384	2.9446684999999997	-0.73725	-0.53175	-10	1	-999	-999
2019241	23.5	0.438731995723887	12.57981	0.94956159938913	0	0.06452884	6.106081	0.6143568425793137	73.70521	401.405370701504	2.7969155	-0.51225	-0.3115	-10	1	-999	-999
2019242	0	0.340669418333527	12.10663	0.8800156893341285	0	0.0580936	5.692429	0.5707779457740434	73.69128	401.046745145625	2.5417145	-0.609	-0.415	-10	1	-999	-999
2019242	0.5	0.480130476190101	12.04735	0.8971969559862152	0	0.05851739	5.667948	0.5832070626270632	73.68419	400.175027584775	2.670724	-0.3265	-0.1325	-10	1	-999	-999
2019242	1	0.295055583232354	12.33154	0.9025227571738768	0	0.05521533	5.209939	0.5577980316934341	73.67921	396.983814104255	2.4919695	-0.22599999999999998	-0.0325	-10	1	-999	-999
2019242	1.5	0.594283947274774	12.40329	0.8689775229365833	0	0.05733275	5.278082	0.5370782970045263	73.66473	396.014809694814	2.6275410000000003	-0.023	0.1725	-10	1	-999	-999
2019242	2	0.395695700905571	12.29654	0.8333847589555702	0	0.0610586	4.903809	0.5053712399759215	73.66496	397.245687150883	2.5007795	0.09775	0.28825	-10	1	-999	-999
2019242	2.5	0.461568267780892	12.03058	0.8282095542488148	0	0.06300668	4.719648	0.504574165350517	73.65852	396.123661277418	2.406574	0.0935	0.28725	-10	1	-999	-999
2019242	3	0.515672296157994	11.48541	0.7923686067782477	0	0.06114393	5.118186	0.51450854246168	73.65596	399.832221305006	2.574843	0.0315	0.2295	-10	1	-999	-999
2019242	3.5	0.80443162111732	11.67007	0.8062697532203266	0	0.06309176	5.168355	0.5189936269922636	73.65327	397.831559121418	2.5085525	-0.15125	0.04675	-10	1	-999	-999
2019242	4	1.08860046014628	11.83326	0.8031424529255725	0	0.05767142	5.834897	0.5356378078876951	73.65182	397.282384590611	2.7853235	-0.26425	-0.0675	-10	1	-999	-999
2019242	4.5	1.02589531228391	11.661	0.77333498873663	0	0.05512981	6.142866	0.5328699931638953	73.66035	397.617008121803	3.0571829999999998	-0.028500000000000008	0.16725	-10	1	-999	-999
2019242	5	1.22784789194252	11.39698	0.7570132012610675	0	0.06249715	6.912574	0.5596625904952943	73.66174	398.269095158705	3.4611620000000003	0.009749999999999997	0.2045	-10	1	-999	-999
