Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec	xylenScalar
2019054	19.5	NA	NA	NA	0	NA	NA	NA	72.4	531.5154	NA	NaN	NaN	-10	0	-999	-999	1
2019054	20	NA	NA	NA	0	NA	NA	NA	72.4	531.9517	NA	NaN	NaN	-10	0	-999	-999	1
2019054	20.5	NA	NA	NA	0	NA	NA	NA	72.4	532.0745	NA	NaN	NaN	-10	0	-999	-999	1
2019054	21	NA	NA	NA	0	NA	NA	NA	72.4	530.5859	NA	NaN	NaN	-10	0	-999	-999	1
2019054	21.5	NA	NA	NA	0	NA	NA	NA	72.4	531.0544	NA	NaN	NaN	-10	0	-999	-999	1
2019054	22	NA	NA	NA	0	NA	NA	NA	72.4	531.0197	NA	NaN	NaN	-10	0	-999	-999	1
2019054	22.5	NA	NA	NA	0	NA	NA	NA	72.4	531.1007	NA	NaN	NaN	-10	0	-999	-999	1
2019054	23	NA	NA	NA	0	NA	NA	NA	72.4	531.093	NA	NaN	NaN	-10	0	-999	-999	1
2019054	23.5	NA	NA	NA	0	NA	NA	NA	72.4	530.4639	NA	NaN	NaN	-10	0	-999	-999	1
2019055	0	NA	NA	NA	0	NA	NA	NA	72.4	529.6523	NA	NaN	NaN	-10	0	-999	-999	1
2019055	0.5	NA	NA	NA	0	NA	NA	NA	72.4	530.0594	NA	NaN	NaN	-10	0	-999	-999	1
2019055	1	NA	NA	NA	0	NA	NA	NA	72.4	530.8171	NA	NaN	NaN	-10	0	-999	-999	1
2019055	1.5	NA	NA	NA	0	NA	NA	NA	72.4	530.8568	NA	NaN	NaN	-10	0	-999	-999	1
2019055	2	NA	NA	NA	0	NA	NA	NA	72.4	531.3373	NA	NaN	NaN	-10	0	-999	-999	1
2019055	2.5	NA	NA	NA	0	NA	NA	NA	72.4	531.2845	NA	NaN	NaN	-10	0	-999	-999	1
2019055	3	NA	NA	NA	0	NA	NA	NA	72.4	531.6099	NA	NaN	NaN	-10	0	-999	-999	1
2019055	3.5	NA	NA	NA	0	NA	NA	NA	72.4	531.394	NA	NaN	NaN	-10	0	-999	-999	1
2019055	4	NA	NA	NA	0	NA	NA	NA	72.4	531.4979	NA	NaN	NaN	-10	0	-999	-999	1
2019055	4.5	NA	NA	NA	0	NA	NA	NA	72.4	532.3489	NA	NaN	NaN	-10	0	-999	-999	1
2019055	5	NA	NA	NA	0	NA	NA	NA	72.4	535.1431	NA	NaN	NaN	-10	0	-999	-999	1
2019055	5.5	NA	NA	NA	0	NA	NA	NA	72.4	533.7639	NA	NaN	NaN	-10	0	-999	-999	1
2019055	6	NA	NA	NA	0	NA	NA	NA	72.4	532.7987	NA	NaN	NaN	-10	0	-999	-999	1
2019055	6.5	NA	NA	NA	0	NA	NA	NA	72.4	534.9631	NA	NaN	NaN	-10	0	-999	-999	1
2019055	7	NA	NA	NA	0	NA	NA	NA	72.4	534.1917	NA	NaN	NaN	-10	0	-999	-999	1
2019055	7.5	NA	NA	NA	0	NA	NA	NA	72.4	533.1984	NA	NaN	NaN	-10	0	-999	-999	1
2019055	8	NA	NA	NA	0	NA	NA	NA	72.4	531.1978	NA	NaN	NaN	-10	0	-999	-999	1
2019055	8.5	NA	NA	NA	0	NA	NA	NA	72.4	528.9008	NA	NaN	NaN	-10	0	-999	-999	1
2019055	9	NA	NA	NA	0	NA	NA	NA	72.4	527.9558	NA	NaN	NaN	-10	0	-999	-999	1
2019055	9.5	NA	NA	NA	0	NA	NA	NA	72.4	527.2455	NA	NaN	NaN	-10	0	-999	-999	1
2019055	10	NA	NA	NA	0	NA	NA	NA	72.4	526.1825	NA	NaN	NaN	-10	0	-999	-999	1
2019055	10.5	NA	NA	NA	0	NA	NA	NA	72.4	525.2768	NA	NaN	NaN	-10	0	-999	-999	1
2019055	11	NA	NA	NA	0	NA	NA	NA	72.4	524.2094	NA	NaN	NaN	-10	0	-999	-999	1
2019055	11.5	NA	NA	NA	0	NA	NA	NA	72.4	522.9066	NA	NaN	NaN	-10	0	-999	-999	1
2019055	12	NA	NA	NA	0	NA	NA	NA	72.4	521.5848	NA	NaN	NaN	-10	0	-999	-999	1
2019055	12.5	NA	NA	NA	0	NA	NA	NA	72.4	520.2421	NA	NaN	NaN	-10	0	-999	-999	1
2019055	13	NA	NA	NA	0	NA	NA	NA	72.4	519.1751	NA	NaN	NaN	-10	0	-999	-999	1
2019055	13.5	NA	NA	NA	0	NA	NA	NA	72.4	518.9052	NA	NaN	NaN	-10	0	-999	-999	1
2019055	14	NA	NA	NA	0	NA	NA	NA	72.4	517.3726	NA	NaN	NaN	-10	0	-999	-999	1
2019055	14.5	NA	NA	NA	0	NA	NA	NA	72.4	517.2932	NA	NaN	NaN	-10	0	-999	-999	1
2019055	15	NA	NA	NA	0	NA	NA	NA	72.4	516.522	NA	NaN	NaN	-10	0	-999	-999	1
2019055	15.5	NA	NA	NA	0	NA	NA	NA	72.4	516.4923	NA	NaN	NaN	-10	0	-999	-999	1
2019055	16	NA	NA	NA	0	NA	NA	NA	72.4	516.6106	NA	NaN	NaN	-10	0	-999	-999	1
2019055	16.5	NA	NA	NA	0	NA	NA	NA	72.4	516.5107	NA	NaN	NaN	-10	0	-999	-999	1
2019055	17	NA	NA	NA	0	NA	NA	NA	72.4	517.2922	NA	NaN	NaN	-10	0	-999	-999	1
2019055	17.5	NA	NA	NA	0	NA	NA	NA	72.4	517.5605	NA	NaN	NaN	-10	0	-999	-999	1
2019055	18	NA	NA	NA	0	NA	NA	NA	72.4	518.6643	NA	NaN	NaN	-10	0	-999	-999	1
2019055	18.5	NA	NA	NA	0	NA	NA	NA	72.4	519.9864	NA	NaN	NaN	-10	0	-999	-999	1
2019055	19	NA	NA	NA	0	NA	NA	NA	72.4	520.4832	NA	NaN	NaN	-10	0	-999	-999	1
2019055	19.5	NA	NA	NA	0	NA	NA	NA	72.4	520.278	NA	NaN	NaN	-10	0	-999	-999	1
2019055	20	NA	NA	NA	0	NA	NA	NA	72.4	521.6785	NA	NaN	NaN	-10	0	-999	-999	1
2019055	20.5	NA	NA	NA	0	NA	NA	NA	72.4	520.6303	NA	NaN	NaN	-10	0	-999	-999	1
2019055	21	NA	NA	NA	0	NA	NA	NA	72.4	520.8064	NA	NaN	NaN	-10	0	-999	-999	1
2019055	21.5	NA	NA	NA	0	NA	NA	NA	72.4	520.2006	NA	NaN	NaN	-10	0	-999	-999	1
2019055	22	NA	NA	NA	0	NA	NA	NA	72.4	518.7146	NA	NaN	NaN	-10	0	-999	-999	1
2019055	22.5	NA	NA	NA	0	NA	NA	NA	72.4	518.7034	NA	NaN	NaN	-10	0	-999	-999	1
2019055	23	NA	NA	NA	0	NA	NA	NA	72.4	518.3548	NA	NaN	NaN	-10	0	-999	-999	1
2019055	23.5	NA	NA	NA	0	NA	NA	NA	72.4	518.6765	NA	NaN	NaN	-10	0	-999	-999	1
2019056	0	NA	NA	NA	0	NA	NA	NA	72.4	518.3121	NA	NaN	NaN	-10	0	-999	-999	1
2019056	0.5	NA	NA	NA	0	NA	NA	NA	72.4	518.8995	NA	NaN	NaN	-10	0	-999	-999	1
